 neg. daughter f21  z= 9 n=12 a=21 Q= -0.0470
 pos. daughter o21  z= 8 n=13 a=21 Q=  8.1400
              +++++++++f21  -->o21  +++++++++---------o21  -->f21  ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
 10.00 10.0 10.389  -7.055  -0.314    0.295  -2.193  -6.529   -1.523
 30.00 10.0  8.651  -1.451   1.415    2.570   1.434   0.069    2.342
100.00 10.0  1.351   0.364   4.024    5.652   2.937   4.703    6.388
  0.01 11.0 23.419 -99.999   2.800    3.660 -99.999 -99.999  -99.999
  0.10 11.0 23.424 -99.999   2.801    3.661 -99.999 -99.999  -99.999
  0.20 11.0 23.419 -99.999   2.800    3.660 -99.999 -99.999  -99.999
  0.40 11.0 23.419 -99.999   2.800    3.660 -99.999 -99.999  -99.999
  0.70 11.0 23.424 -80.156   2.802    3.662 -99.999 -99.999  -99.999
  1.00 11.0 23.419 -56.641   2.801    3.661 -79.046 -99.999  -79.638
  1.50 11.0 23.419 -38.347   2.802    3.663 -52.938 -85.167  -53.356
  2.00 11.0 23.419 -29.194   2.804    3.665 -39.783 -64.368  -40.078
  3.00 11.0 23.414 -20.032   2.806    3.668 -26.481 -43.419  -26.604
  5.00 11.0 23.399 -12.707   2.809    3.669 -15.602 -26.397  -15.513
 10.00 11.0 23.322  -7.055   2.830    3.693  -6.971 -13.048   -6.606
 30.00 11.0 22.504  -1.449   3.288    4.431  -0.254  -2.258    0.483
100.00 11.0 14.012   0.482   4.635    6.273   2.646   4.074    5.758
