 neg. daughter mg21 z=12 n= 9 a=21 Q= 10.9120
 pos. daughter na21 z=11 n=10 a=21 Q= -2.1858
              +++++++++mg21 -->na21 +++++++++---------na21 -->mg21 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.10 11.0 23.424   0.745   4.932    6.247 -99.999 -99.999  -99.999
  0.20 11.0 23.419   0.745   4.932    6.247 -99.999 -99.999  -99.999
  0.40 11.0 23.419   0.745   4.932    6.247 -99.999 -99.999  -99.999
  0.70 11.0 23.424   0.744   4.932    6.246 -99.999 -99.999  -99.999
  1.00 11.0 23.419   0.741   4.929    6.243 -99.999 -99.999  -99.999
  1.50 11.0 23.419   0.735   4.926    6.239 -99.999 -99.999  -99.999
  2.00 11.0 23.419   0.729   4.923    6.236 -93.336 -94.304  -93.592
  3.00 11.0 23.414   0.721   4.918    6.230 -62.197 -63.107  -62.278
  5.00 11.0 23.399   0.714   4.907    6.218 -37.091 -37.883  -36.949
 10.00 11.0 23.322   0.716   4.877    6.185 -17.987 -18.507  -17.517
 30.00 11.0 22.504   2.307   4.956    6.357  -5.158  -4.475   -3.392
100.00 11.0 14.012   3.877   6.063    7.827  -0.602   2.985    4.561
